timestamp,06/09/2021 10:33,,,,,,,,,,,,,,,,,
site-id,SPENF,,,,,,,,,,,,,,,,,
site-name,Spen Farm,,,,,,,,,,,,,,,,,
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Deg Celsius,Deg Celsius,Deg Celsius,hPa,MJday-1,Deg Celsius,ms-1,mm,Deg Celsius,%,Deg Celsius,%,mm,Unitless
29/01/2017,36.6,0.5,5.5,90.4,3.2,0.9,5.1,1003.2,0.6,176.5,2.4,0.3,2.2,30.3,2.4,31.2,,0.144
30/01/2017,36,0,6.1,91.4,4.8,2.8,6.8,1005.1,2.1,68.5,3.1,0.5,4,30.8,4.1,31.7,,0.129
31/01/2017,35.3,8.1,6.4,96.8,4.5,3.6,5.8,1004.5,0.5,140.4,5.4,0.2,4.2,31.2,4.3,34.4,,0.112
01/02/2017,37.5,5.9,7.6,96.4,7.2,5.6,9.7,997.1,1.5,138.4,3,0.2,5.6,32.3,5.7,36.9,,0.125
02/02/2017,37.1,0.1,8.1,89.1,9.5,6.9,10.7,985.7,-0.2,146.6,5.7,0.4,6.9,30.4,7,31.3,,0.117
03/02/2017,35.1,0.8,6.5,80.8,7.7,5.1,10.5,985.4,0.1,147.9,5.1,0.9,6.3,29.7,6.4,30.7,,0.154
04/02/2017,36.3,2.2,5.1,81.7,3.9,0.6,7.5,988.1,-0.9,192.4,3.1,0.8,4.4,31.2,4.5,36,,0.157
05/02/2017,36.1,0.3,5.4,89.7,3.3,0.5,6.2,998.6,-0.2,148.3,1.4,0.3,3.4,29.9,3.5,31.2,,0.134
06/02/2017,35.2,6.1,5,94.9,1.2,-3,4.8,1009.1,0.5,153,3.1,0.4,2.3,30.2,2.4,32.1,,0.14
07/02/2017,36.6,1.4,6.3,94.7,4.6,2.9,8,1007.4,2.8,141,2.9,0.5,4.4,32.4,4.5,36.1,,0.142
08/02/2017,36.6,0.4,5.5,91.5,3,1.3,4.3,1021.6,0.6,73.1,2,0.4,4.1,30.8,4.1,31.7,,0.137
09/02/2017,34.5,0,4.4,82.2,1.5,0.9,2.2,1023.3,-0.6,70,1.9,0.5,2.6,30.1,2.6,31.1,,0.135
10/02/2017,35.6,0.3,4.4,83.7,1.3,0.7,2.9,1020.8,0.5,20.9,2.8,0.6,2.1,30.1,2.2,30.9,,0.14
11/02/2017,36.4,5.7,5.4,93.6,2.4,1.1,3.4,1020,0.5,12.2,3.9,0.3,2.4,32.7,2.5,34.2,,0.154
12/02/2017,39,4.5,5.2,90.7,2.4,1.1,3.6,1022.1,0,55.4,4.9,0.4,2.5,33.8,2.5,36.7,,0.162
13/02/2017,38.6,0,5.7,88.3,4.3,2.8,7,1021.4,2.1,74.7,4.1,0.6,3.8,31.4,3.9,32.7,,0.15
14/02/2017,36.8,0,5.6,87.8,4.2,1.2,6.8,1018.6,1.2,100.4,2.3,0.5,3.3,30.3,3.4,31.1,,0.159
15/02/2017,36.2,1.4,7.4,94.2,7.2,5.3,9.2,1018.8,2,155.7,2.2,0.2,5.5,30.5,5.6,31,,0.137
16/02/2017,37.1,0.1,6.6,80.2,8,5.8,10.1,1018.1,1.4,237.5,4.1,0.9,5.7,31.7,5.8,31.4,,0.132
17/02/2017,34.7,0,7.7,89.5,8.6,7.6,10.3,1019.1,1.4,218,2,0.2,7.1,31.1,7.1,30.8,,0.13
18/02/2017,35,0.1,7.4,87.2,8.5,5.5,12.5,1014.5,1.4,171.4,2.7,0.5,7,30.8,7.1,30.6,,0.136
19/02/2017,37.5,0.5,7.5,82.4,9.4,7.4,11.5,1012,2.2,260.8,3.6,0.8,7.5,30.7,7.6,30.5,,0.131
20/02/2017,35.8,0.9,8.5,84.1,11.2,9,12.9,1007.5,0.3,263.4,5.7,0.7,8.9,30.6,9,30.5,,0.135
21/02/2017,33.3,0.9,7.4,79.8,9.7,6.8,12.5,1003.6,0.8,245.8,5,0.9,7.7,30.4,7.8,30.3,,0.141
22/02/2017,34.6,2,6.4,74,8.6,6.1,12.1,995.6,1.5,265.2,6.4,1.6,7.5,30.3,7.5,30.2,,0.159
23/02/2017,35.1,7,6.2,84.6,5.9,3.2,9.6,984.2,0.6,248.2,6,0.9,6.2,33.7,6.2,36,,0.14
24/02/2017,37,0,4.9,71.4,5.2,2.1,7.9,1006.5,2.9,263.5,3.2,1.4,4.7,31.6,4.8,31.2,,0.15
25/02/2017,36.5,1.9,7.1,81.2,8.9,5.2,10.8,998.7,2.5,207.1,6.1,1,6.5,30.9,6.7,30.7,,0.138
